No(line_no),주소(address),경도(longitute),위도(latitude),좌표값(status),설치장소상세(address_detail),설치장소타입(address_type),쓰레기통 형태(trash_type),관할기관(gov),관할기관연락처(gov_num)
1,서울특별시 용산구 강변삼성아파트앞 횡단보도 버스정류장(03-299)  ,126.9804724,37.53114116,인근좌표,서울특별시 용산구 강변삼성아파트앞 횡단보도 버스정류장(03-299)  ,,일반쓰레기수거용,서울시 용산구,02-2199-7302
2,서울특별시 용산구  원효로4가 현대자동차써비스(원효로3가방면) 버스정류장(03-301) ,126.94526,37.53471374,인근좌표,서울특별시 용산구  원효로4가 현대자동차써비스(원효로3가방면) 버스정류장(03-301) ,, 일반쓰레기수거용 ,서울시 용산구,02-2199-7302
3,서울특별시 용산구  목월공원 앞 ,126.9804724,37.53114116,인근좌표,서울특별시 용산구  목월공원 앞 ,, 일반쓰레기수거용 ,서울시 용산구,02-2199-7302
4,서울특별시 용산구  원효로 3가 시범아파트 버스정류장(03-146) ,126.94526,37.53471374,인근좌표,서울특별시 용산구  원효로 3가 시범아파트 버스정류장(03-146) ,, 일반쓰레기수거용 ,서울시 용산구,02-2199-7302
5,서울특별시 용산구  원효로1가 45  (유닉스빌딩앞 버스정류장(03-140) ,126.9689844,37.53986578,인근좌표,서울특별시 용산구  원효로1가 45  (유닉스빌딩앞 버스정류장(03-140) ,, 일반쓰레기수거용 ,서울시 용산구,02-2199-7302
6,서울특별시 용산구  원효로 3가 우리 이비인후과 앞(원효아파트앞횡단보도) ,126.94526,37.53471374,인근좌표,서울특별시 용산구  원효로 3가 우리 이비인후과 앞(원효아파트앞횡단보도) ,, 일반쓰레기수거용 ,서울시 용산구,02-2199-7302
7,서울특별시 용산구  원효로 2가 사거리 열린동물병원앞 ,126.94526,37.53471374,인근좌표,서울특별시 용산구  원효로 2가 사거리 열린동물병원앞 ,, 일반쓰레기수거용 ,서울시 용산구,02-2199-7302
8,서울특별시 용산구  (구)용산구청앞 사거리 (우리은행) 횡단보도 ,129.0571699,35.58648813,인근좌표,서울특별시 용산구  (구)용산구청앞 사거리 (우리은행) 횡단보도 ,, 일반쓰레기수거용 ,서울시 용산구,02-2199-7302
9,서울특별시 용산구  용산경찰서 입구(GS25 편의점앞) ,126.9804724,37.53114116,인근좌표,서울특별시 용산구  용산경찰서 입구(GS25 편의점앞) ,, 일반쓰레기수거용 ,서울시 용산구,02-2199-7302
10,서울특별시 용산구  선린인터넷고등학교 입구( CU편의점앞 ) ,126.9804724,37.53114116,인근좌표,서울특별시 용산구  선린인터넷고등학교 입구( CU편의점앞 ) ,, 일반쓰레기수거용 ,서울시 용산구,02-2199-7302
11,서울특별시 용산구 (구)용산구청 보건분소앞 사거리(해오름공인중개사),129.0571699,35.58648813,인근좌표,서울특별시 용산구 (구)용산구청 보건분소앞 사거리(해오름공인중개사),, 일반쓰레기수거용 ,서울시 용산구,02-2199-7302
12,서울특별시 용산구 소화아동병원앞(택시정류장),126.9804724,37.53114116,인근좌표,서울특별시 용산구 소화아동병원앞(택시정류장),, 일반쓰레기수거용 ,서울시 용산구,02-2199-7302
13,서울특별시 용산구 청파동(서계동방면) 버스정류장(03-126),126.9664327,37.55258491,인근좌표,서울특별시 용산구 청파동(서계동방면) 버스정류장(03-126),, 일반쓰레기수거용 ,서울시 용산구,02-2199-7302
14,서울특별시 용산구 숙대입구역 청파동주민센터(세운할인마트앞)버스정류장(13-129),128.6131436,35.81515435,인근좌표,서울특별시 용산구 숙대입구역청파동주민센터(세운할인마트앞)버스정류장(13-129),, 일반쓰레기수거용 ,서울시 용산구,02-2199-7302
15,서울특별시 용산구 숙대입구역 청파동주민센터버스정류장(03-128),128.6131436,35.81515435,인근좌표,서울특별시 용산구 숙대입구역청파동주민센터버스정류장(03-128),, 일반쓰레기수거용 ,서울시 용산구,02-2199-7302
16,서울특별시 용산구 갈월동종합사회복지관 택시정류장,126.9715704,37.54493279,인근좌표,서울특별시 용산구 갈월동종합사회복지관 택시정류장,, 일반쓰레기수거용 ,서울시 용산구,02-2199-7302
17,서울특별시 용산구 용산고등학교 앞 사거리( 구두 수선앞),129.0571699,35.58648813,인근좌표,서울특별시 용산구 용산고등학교 앞 사거리( 구두 수선앞),, 일반쓰레기수거용 ,서울시 용산구,02-2199-7302
18,서울특별시 용산구 스마일치과의원 건너편 버스정류장(03-203),126.9804724,37.53114116,인근좌표,서울특별시 용산구 스마일치과의원 건너편 버스정류장(03-203),, 일반쓰레기수거용 ,서울시 용산구,02-2199-7302
19,서울특별시 용산구 SC제일은행앞 버스정류장(03-201),126.9804724,37.53114116,인근좌표,서울특별시 용산구 SC제일은행앞 버스정류장(03-201),, 일반쓰레기수거용 ,서울시 용산구,02-2199-7302
20,서울특별시 용산구 후암시장(삼강의원방면) 버스정류장(03-200),126.9804724,37.53114116,인근좌표,서울특별시 용산구 후암시장(삼강의원방면) 버스정류장(03-200),, 일반쓰레기수거용 ,서울시 용산구,02-2199-7302
21,서울특별시 용산구 후암삼거리 버스정류장(03-199) 클라라 잡화,126.4241385,37.75467623,인근좌표,서울특별시 용산구 후암삼거리 버스정류장(03-199) 클라라 잡화,, 일반쓰레기수거용 ,서울시 용산구,02-2199-7302
22,서울특별시 용산구 진흥빌딩 앞 마을버스정류장,126.9804724,37.53114116,인근좌표,서울특별시 용산구 진흥빌딩 앞 마을버스정류장,, 일반쓰레기수거용 ,서울시 용산구,02-2199-7302
23,서울특별시 용산구 진흥빌딩 건너편 그랜드아파트 횡단보도앞,126.9804724,37.53114116,인근좌표,서울특별시 용산구 진흥빌딩 건너편 그랜드아파트 횡단보도앞,, 일반쓰레기수거용 ,서울시 용산구,02-2199-7302
24,서울특별시 용산구 원효로1가 선린교차로 현수막 거치대옆(남영지하차도입구),126.94526,37.53471374,인근좌표,서울특별시 용산구 원효로1가 선린교차로 현수막 거치대옆(남영지하차도입구),, 일반쓰레기수거용 ,서울시 용산구,02-2199-7302
25,서울특별시 용산구 전자상가관광터미널(신용산역3번출구방면) 버스정류장(03-252 03-558),126.9804724,37.53114116,인근좌표,서울특별시 용산구 전자상가관광터미널(신용산역3번출구방면) 버스정류장(03-25203-558),, 일반쓰레기수거용 ,서울시 용산구,02-2199-7302
26,서울특별시 용산구 용산전자상가 삼구빌딩 하나은행(원효대교북단방면) 버스정류장(03-138),126.9804724,37.53114116,인근좌표,서울특별시 용산구 용산전자상가 삼구빌딩 하나은행(원효대교북단방면) 버스정류장(03-138),, 일반쓰레기수거용 ,서울시 용산구,02-2199-7302
27,서울특별시 용산구 삼각지 고가 등기소 건너편 마을버스정류장(03-552),126.9804724,37.53114116,인근좌표,서울특별시 용산구 삼각지 고가 등기소 건너편 마을버스정류장(03-552),, 일반쓰레기수거용 ,서울시 용산구,02-2199-7302
28,서울특별시 용산구 (구)용산구청 보건분소 앞 횡단보도,126.9804724,37.53114116,인근좌표,서울특별시 용산구 (구)용산구청 보건분소 앞 횡단보도,, 일반쓰레기수거용 ,서울시 용산구,02-2199-7302
29,서울특별시 용산구 효창공원역 2번출구(효창동물병원),126.9804724,37.53114116,인근좌표,서울특별시 용산구 효창공원역 2번출구(효창동물병원),, 일반쓰레기수거용 ,서울시 용산구,02-2199-7302
30,서울특별시 용산구 효창공원역 3번출구(버스정류장03-180),126.9804724,37.53114116,인근좌표,서울특별시 용산구 효창공원역 3번출구(버스정류장03-180),, 일반쓰레기수거용 ,서울시 용산구,02-2199-7302
31,서울특별시 용산구 푸르지오아파트앞 버스정류장(03-178),126.9804724,37.53114116,인근좌표,서울특별시 용산구 푸르지오아파트앞 버스정류장(03-178),, 일반쓰레기수거용 ,서울시 용산구,02-2199-7302
32,서울특별시 용산구 손기정 버스정류장(03-228)(육교밑 사과나무부동산앞),126.9804724,37.53114116,인근좌표,서울특별시 용산구 손기정 버스정류장(03-228)(육교밑 사과나무부동산앞),, 일반쓰레기수거용 ,서울시 용산구,02-2199-7302
33,서울특별시 용산구 현대아파트 버스정류장(03-223),126.9804724,37.53114116,인근좌표,서울특별시 용산구 현대아파트 버스정류장(03-223),, 일반쓰레기수거용 ,서울시 용산구,02-2199-7302
34,서울특별시 용산구 강촌아파트 버스정류장(03-221),126.9804724,37.53114116,인근좌표,서울특별시 용산구 강촌아파트 버스정류장(03-221),, 일반쓰레기수거용 ,서울시 용산구,02-2199-7302
35,서울특별시 용산구 신용산 초등학교 건너편(이상윤동물병원앞),126.9804724,37.53114116,인근좌표,서울특별시 용산구 신용산 초등학교 건너편(이상윤동물병원앞),, 일반쓰레기수거용 ,서울시 용산구,02-2199-7302
36,서울특별시 용산구 이촌파출소앞 버스정류장(03-217),126.9804724,37.53114116,인근좌표,서울특별시 용산구 이촌파출소앞 버스정류장(03-217),, 일반쓰레기수거용 ,서울시 용산구,02-2199-7302
37,서울특별시 용산구 동부이촌동 국민은행앞 ,126.9664108,37.51877521,인근좌표,서울특별시 용산구 동부이촌동 국민은행앞 ,, 일반쓰레기수거용 ,서울시 용산구,02-2199-7302
38,서울특별시 용산구 이촌동두산위브아파트앞 버스정류장(03-215 03-733),126.9664108,37.51877521,인근좌표,서울특별시 용산구 이촌동두산위브아파트앞 버스정류장(03-21503-733),, 일반쓰레기수거용 ,서울시 용산구,02-2199-7302
39,서울특별시 용산구 두산위브아파트앞 횡단보도,126.9804724,37.53114116,인근좌표,서울특별시 용산구 두산위브아파트앞 횡단보도,, 일반쓰레기수거용 ,서울시 용산구,02-2199-7302
