No,주소,경도,위도,상태,세부위치,설치장소설명,형태,담당,관리기관 번호
1,서울특별시 강남구 K타워(삼성동 158-23),127.0623557,37.49607082,인근좌표,서울특별시 강남구 K타워(삼성동 158-23),도로변(횡단보도 포함),일반쓰레기,서울특별시 강남구청,
2,서울특별시 강남구 도곡동 949-3,127.0333327,37.48717224,정좌표,서울특별시 강남구 도곡동 949-3,도로변(횡단보도 포함),재활용쓰레기,서울특별시 강남구청,
3,서울특별시 강남구 도곡동 949-3,127.0333327,37.48717224,정좌표,서울특별시 강남구 도곡동 949-3,도로변(횡단보도 포함), 일반쓰레기,서울특별시 강남구청,
4,서울특별시 강남구 역삼동 837,127.0311647,37.4915706,정좌표,서울특별시 강남구 역삼동 837,도로변(횡단보도 포함), 재활용쓰레기,서울특별시 강남구청,
5,서울특별시 강남구 역삼동 837,127.0311647,37.4915706,정좌표,서울특별시 강남구 역삼동 837,도로변(횡단보도 포함), 일반쓰레기,서울특별시 강남구청,
6,서울특별시 강남구 역삼동 826-22,127.0291896,37.49570654,정좌표,서울특별시 강남구 역삼동 826-22,도로변(횡단보도 포함), 재활용쓰레기,서울특별시 강남구청,
7,서울특별시 강남구 역삼동 826-22,127.0291896,37.49570654,정좌표,서울특별시 강남구 역삼동 826-22,"정류소(버스, 택시 등)", 일반쓰레기,서울특별시 강남구청,
8,서울특별시 강남구 역삼동 826-20,127.0295292,37.49532875,정좌표,서울특별시 강남구 역삼동 826-20,"정류소(버스, 택시 등)", 재활용쓰레기,서울특별시 강남구청,
9,서울특별시 강남구 역삼동 826-20,127.0295292,37.49532875,정좌표,서울특별시 강남구 역삼동 826-20,도로변(횡단보도 포함), 일반쓰레기,서울특별시 강남구청,
10,서울특별시 강남구 역삼동 735,127.0330185,37.49925894,정좌표,서울특별시 강남구 역삼동 735,도로변(횡단보도 포함), 재활용쓰레기,서울특별시 강남구청,
11,서울특별시 강남구 역삼동 735,127.0330185,37.49925894,정좌표,서울특별시 강남구 역삼동 735,"정류소(버스, 택시 등)", 일반쓰레기,서울특별시 강남구청,
