No,주소,경도,위도,상태,세부위치,설치장소설명,형태,담당,관리기관 번호
1,대전광역시 동구 동대전로 319,127.443052,36.34900766,정좌표,대전광역시 동구 동대전로 319 대전광역시 동구 동대전로 319 중앙택시,버스정류장 앞,일반+담배꽁초+재활용 ,대전광역시 동구,042-251-4561
2,대전광역시 동구 합내로 75,127.4398194,36.34986146,정좌표,대전광역시 동구 합내로 75 더치나인,버스정류장 앞,일반+담배꽁초+재활용 ,대전광역시 동구,042-251-4561
3,대전광역시 동구 우암로 355 건너편,127.452097,36.35071104,정좌표,대전광역시 동구 우암로 355 건너편 택시회사,버스정류장 앞,일반+담배꽁초+재활용 ,대전광역시 동구,042-251-4561
4,대전광역시 동구 우암로 328,127.4512675,36.34827888,정좌표,대전광역시 동구 우암로 328 연세의원,버스정류장 앞,일반+담배꽁초+재활용 ,대전광역시 동구,042-251-4561
5,대전광역시 동구 우암로 240,127.4432814,36.34387917,정좌표,대전광역시 동구 우암로 240 가양치과,버스정류장 앞,일반+담배꽁초+재활용 ,대전광역시 동구,042-251-4561
6,대전광역시 동구 우암로 279,127.4466468,36.34606128,정좌표,대전광역시 동구 우암로 279 구기산업건설,버스정류장 앞,일반+담배꽁초+재활용 ,대전광역시 동구,042-251-4561
7,대전광역시 동구 우암로 286,127.4474012,36.34596028,정좌표,대전광역시 동구 우암로 286 행복누리,버스정류장 앞,일반+담배꽁초+재활용 ,대전광역시 동구,042-251-4561
8,대전광역시 동구 동대전로 263,127.4462906,36.34452516,정좌표,대전광역시 동구 동대전로 263 그래그래피자,버스정류장 앞,일반+담배꽁초+재활용 ,대전광역시 동구,042-251-4561
9,대전광역시 동구 동대전로 284,127.4454033,36.34644279,정좌표,대전광역시 동구 동대전로 284 연합의원,버스정류장 앞,일반+담배꽁초+재활용 ,대전광역시 동구,042-251-4561
10,대전광역시 동구 동대전로 287,127.444649,36.34631064,정좌표,대전광역시 동구 동대전로 287 고고성자원,버스정류장 앞,일반+담배꽁초+재활용 ,대전광역시 동구,042-251-4561
