No,주소,경도,위도,상태,세부위치,설치장소설명,형태,담당,관리기관 번호
1,서울특별시 성동구 도선동 15-3,127.0359075,37.56321644,인근좌표,서울특별시 성동구 도선동 15-3 용호공사 옆 거창식당 앞,,일반쓰레기,가로환경미화원,
2,서울특별시 성동구 도선동 409,127.030359,37.56500278,인근좌표,서울특별시 성동구 도선동 409 세븐일레븐 앞,,일반+담배꽁초 ,가로환경미화원,
3,서울특별시 성동구 마장동 792,127.0422783,37.56534371,정좌표,서울특별시 성동구 마장동 792 마장갈비 앞,,일반쓰레기 ,가로환경미화원,
4,서울특별시 성동구 사근동 33-10,127.0477662,37.55336802,인근좌표,서울특별시 성동구 사근동 33-10 모닝글로리 서점 앞,,일반쓰레기,가로환경미화원,
5,서울특별시 성동구 행당동 1-13,127.0391806,37.5610981,정좌표,서울특별시 성동구 행당동 1-13 왕십리역 6번출구 위 공원,,일반쓰레기,가로환경미화원,
6,서울특별시 성동구 행당동 1-13,127.0391806,37.5610981,정좌표,서울특별시 성동구 행당동 1-13 왕십리역 6번출구 위 공원,,일반쓰레기,가로환경미화원,
7,서울특별시 성동구 하왕십리동 966-13,127.0329826,37.56247532,정좌표,서울특별시 성동구 하왕십리동 966-13 왕십리로327 국민은행 앞,,일반+담배꽁초 ,가로환경미화원,
8,서울특별시 성동구 도선동 256-1,127.0330877,37.56309886,정좌표,서울특별시 성동구 도선동 256-1 왕십리로 332-1 유노헤어샾,,일반+담배꽁초 ,가로환경미화원,
9,서울특별시 성동구 행당동 284,127.0346559,37.56086665,정좌표,서울특별시 성동구 행당동 284 왕십리로 303 성동우체국앞,,일반쓰레기,가로환경미화원,
10,서울특별시 성동구 행당동 284,127.0346559,37.56086665,정좌표,서울특별시 성동구 행당동 284 왕십리로 303 성동우체국앞,, 재활용쓰레기 수거용,가로환경미화원,
11,서울특별시 성동구 행당동 347,127.0270933,37.55789202,정좌표,서울특별시 성동구 행당동 347 행당로 87길 농협 앞,,일반+담배꽁초 ,가로환경미화원,
12,서울특별시 성동구 금호동4가 559,127.022112,37.54802524,정좌표,서울특별시 성동구 금호동4가 559 도원문고 앞,,일반+담배꽁초 ,가로환경미화원,
