No,주소,경도,위도,상태,세부위치,설치장소설명,형태,담당,관리기관 번호
1,서울특별시 영등포구 국회대로 675,126.909032,37.52539723,정좌표,서울특별시 영등포구 국회대로 675 안상규벌꿀 앞,⑥ 횡단보도 입구,① 일반쓰레기,,
2,서울특별시 영등포구 국회대로 675,126.909032,37.52539723,정좌표,서울특별시 영등포구 국회대로 675 안상규벌꿀 앞,⑥ 횡단보도 입구,② 재활용쓰레기,,
3,서울특별시 영등포구 당산로 235,126.9020895,37.53471153,정좌표,서울특별시 영등포구 당산로 235 당산역 2번출구 버스정류장(19-645),"① 정류장(버스, 택시 등)",① 일반쓰레기,,
4,서울특별시 영등포구 당산로 235,126.9020895,37.53471153,정좌표,서울특별시 영등포구 당산로 235 당산역 2번출구 버스정류장(19-645),"① 정류장(버스, 택시 등)",② 재활용쓰레기,,
5,서울특별시 영등포구 양평로 36,126.9026738,37.53382666,정좌표,서울특별시 영등포구 양평로 36 당산역 7번 출구 뒤,② 지하철역 입구,① 일반쓰레기,,
6,서울특별시 영등포구 양평로 36,126.9026738,37.53382666,정좌표,서울특별시 영등포구 양평로 36 당산역 7번 출구 뒤,② 지하철역 입구,② 재활용쓰레기,,
7,서울특별시 영등포구 당산로 223,126.9011635,37.53373906,정좌표,서울특별시 영등포구 당산로 223 올리브 영 앞,② 지하철역 입구,① 일반쓰레기,,
8,서울특별시 영등포구 당산로 223,126.9011635,37.53373906,정좌표,서울특별시 영등포구 당산로 223 올리브 영 앞,② 지하철역 입구,② 재활용쓰레기,,
9,서울특별시 영등포구 양평로 64,126.899966,37.53514017,정좌표,서울특별시 영등포구 양평로 64 gs편의점 앞,"① 정류장(버스, 택시 등)",① 일반쓰레기,,
10,서울특별시 영등포구 양평로 36,126.9026738,37.53382666,정좌표,서울특별시 영등포구 양평로 36 당산역 7번 출구 뒤,② 지하철역 입구,① 일반쓰레기,,
11,서울특별시 영등포구 양평로 36,126.9026738,37.53382666,정좌표,서울특별시 영등포구 양평로 36 당산역 7번 출구 뒤,② 지하철역 입구,② 재활용쓰레기,,
12,서울특별시 영등포구 양평로 24-1,126.9035734,37.5333242,정좌표,서울특별시 영등포구 양평로 24-1 o&k 빌딩 앞 버스정류장(19-175),"① 정류장(버스, 택시 등)",① 일반쓰레기,,
13,서울특별시 영등포구 양평로 24-1,126.9035734,37.5333242,정좌표,서울특별시 영등포구 양평로 24-1 o&k 빌딩 앞 버스정류장(19-175),"① 정류장(버스, 택시 등)",② 재활용쓰레기,,
14,서울특별시 영등포구 당산로 222,126.9022915,37.53324561,정좌표,서울특별시 영등포구 당산로 222 당산역 10번출구 소공원,② 지하철역 입구,① 일반쓰레기,,
15,서울특별시 영등포구 당산로 222,126.9022915,37.53324561,정좌표,서울특별시 영등포구 당산로 222 당산역 10번출구 소공원,② 지하철역 입구,① 일반쓰레기,,
16,서울특별시 영등포구 당산로 222,126.9022915,37.53324561,정좌표,서울특별시 영등포구 당산로 222 당산역 10번출구 소공원,② 지하철역 입구,① 일반쓰레기,,
17,서울특별시 영등포구 영중로 55,126.9045868,37.52135713,정좌표,서울특별시 영등포구 영중로 55 영등포시장 버스정류장(19-120),"① 정류장(버스, 택시 등)",① 일반쓰레기,,
18,서울특별시 영등포구 영중로 55,126.9045868,37.52135713,정좌표,서울특별시 영등포구 영중로 55 영등포시장 버스정류장(19-120),"① 정류장(버스, 택시 등)",② 재활용쓰레기,,
19,서울특별시 영등포구 영중로 122,126.9059605,37.52713152,정좌표,서울특별시 영등포구 영중로 122 서강 어린이 공원 앞,⑥ 횡단보도 입구,① 일반쓰레기,,
20,서울특별시 영등포구 영중로 122,126.9059605,37.52713152,정좌표,서울특별시 영등포구 영중로 122 서강 어린이 공원 앞,⑥ 횡단보도 입구,② 재활용쓰레기,,
21,서울특별시 영등포구 양평로 135,126.892671,37.53821478,정좌표,서울특별시 영등포구 양평로 135 C & V 앞,⑥ 횡단보도 입구,① 일반쓰레기,,
22,서울특별시 영등포구 양평로 135,126.892671,37.53821478,정좌표,서울특별시 영등포구 양평로 135 C & V 앞,⑥ 횡단보도 입구,② 재활용쓰레기,,
23,서울특별시 영등포구 양평로 136,126.8930556,37.53867644,정좌표,서울특별시 영등포구 양평로 136 가족호텔 신축현장 앞,⑥ 횡단보도 입구,① 일반쓰레기,,
24,서울특별시 영등포구 양평로 136,126.8930556,37.53867644,정좌표,서울특별시 영등포구 양평로 136 가족호텔 신축현장 앞,⑥ 횡단보도 입구,② 재활용쓰레기,,
25,서울특별시 영등포구 양평로 116-1,126.8947464,37.537715,정좌표,서울특별시 영등포구 양평로 116-1 양평로 프리마트 앞,⑥ 횡단보도 입구,① 일반쓰레기,,
26,서울특별시 영등포구 양평로 116-1,126.8947464,37.537715,정좌표,서울특별시 영등포구 양평로 116-1 양평로 프리마트 앞,⑥ 횡단보도 입구,② 재활용쓰레기,,
27,서울특별시 영등포구 당산로 231,126.9018682,37.5345223,정좌표,서울특별시 영등포구 당산로 231 당산역 1번 출구 앞,② 지하철역 입구,① 일반쓰레기,,
28,서울특별시 영등포구 당산로 231,126.9018682,37.5345223,정좌표,서울특별시 영등포구 당산로 231 당산역 1번 출구 앞,② 지하철역 입구,② 재활용쓰레기,,
29,서울특별시 영등포구 문래로 197,126.9041891,37.51843926,정좌표,서울특별시 영등포구 문래로 197 영등포 소방서 앞,"① 정류장(버스, 택시 등)",① 일반쓰레기,,
30,서울특별시 영등포구 문래로 197,126.9041891,37.51843926,정좌표,서울특별시 영등포구 문래로 197 영등포 소방서 앞,"① 정류장(버스, 택시 등)",② 재활용쓰레기,,
31,서울특별시 영등포구 문래로 110,126.8941145,37.51885103,정좌표,서울특별시 영등포구 문래로 110 문래 청소년 수련관 앞,"① 정류장(버스, 택시 등)",① 일반쓰레기,,
32,서울특별시 영등포구 문래로 110,126.8941145,37.51885103,정좌표,서울특별시 영등포구 문래로 110 문래 청소년 수련관 앞,"① 정류장(버스, 택시 등)",② 재활용쓰레기,,
33,서울특별시 영등포구 경인로 705,126.8921609,37.51137113,정좌표,서울특별시 영등포구 경인로 705 버스중앙차로(19-002),⑦ 버스중앙차로내 휴지통,① 일반쓰레기,,
34,서울특별시 영등포구 경인로 705,126.8921609,37.51137113,정좌표,서울특별시 영등포구 경인로 705 버스중앙차로(19-002),⑦ 버스중앙차로내 휴지통,② 재활용쓰레기,,
35,서울특별시 영등포구 경인로 705,126.8921609,37.51137113,정좌표,서울특별시 영등포구 경인로 705 버스중앙차로(19-002),⑦ 버스중앙차로내 휴지통,① 일반쓰레기,,
36,서울특별시 영등포구 경인로 705,126.8921609,37.51137113,정좌표,서울특별시 영등포구 경인로 705 버스중앙차로(19-002),⑦ 버스중앙차로내 휴지통,② 재활용쓰레기,,
37,서울특별시 영등포구 경인로 829,126.9050099,37.5160796,정좌표,서울특별시 영등포구 경인로 829 한솔요리학원 앞 버스중앙차로 (19-005),⑦ 버스중앙차로내 휴지통,① 일반쓰레기,,
38,서울특별시 영등포구 경인로 829,126.9050099,37.5160796,정좌표,서울특별시 영등포구 경인로 829 한솔요리학원 앞 버스중앙차로 (19-005),⑦ 버스중앙차로내 휴지통,② 재활용쓰레기,,
39,서울특별시 영등포구 경인로 829,126.9050099,37.5160796,정좌표,서울특별시 영등포구 경인로 829 한솔요리학원 앞 버스중앙차로 (19-005),⑦ 버스중앙차로내 휴지통,① 일반쓰레기,,
40,서울특별시 영등포구 경인로 829,126.9050099,37.5160796,정좌표,서울특별시 영등포구 경인로 829 한솔요리학원 앞 버스중앙차로 (19-005),⑦ 버스중앙차로내 휴지통,② 재활용쓰레기,,
41,서울특별시 영등포구 경인로 829,126.9050099,37.5160796,정좌표,서울특별시 영등포구 경인로 829 한솔요리학원 앞 버스중앙차로 (19-005),⑦ 버스중앙차로내 휴지통,① 일반쓰레기,,
42,서울특별시 영등포구 경인로 829,126.9050099,37.5160796,정좌표,서울특별시 영등포구 경인로 829 한솔요리학원 앞 버스중앙차로 (19-005),⑦ 버스중앙차로내 휴지통,② 재활용쓰레기,,
43,서울특별시 영등포구 경인로 720,126.8938723,37.5117201,정좌표,서울특별시 영등포구 경인로 720 버스중앙차로(19-001),⑦ 버스중앙차로내 휴지통,① 일반쓰레기,,
44,서울특별시 영등포구 경인로 720,126.8938723,37.5117201,정좌표,서울특별시 영등포구 경인로 720 버스중앙차로(19-001),⑦ 버스중앙차로내 휴지통,② 재활용쓰레기,,
45,서울특별시 영등포구 선유서로 76,126.8856976,37.52252562,정좌표,서울특별시 영등포구 선유서로 76 영등포기계상가 맞은편 버스정류장(19-203),"① 정류장(버스, 택시 등)",① 일반쓰레기,,
46,서울특별시 영등포구 선유서로 76,126.8856976,37.52252562,정좌표,서울특별시 영등포구 선유서로 76 영등포기계상가 맞은편 버스정류장(19-203),"① 정류장(버스, 택시 등)",② 재활용쓰레기,,
47,서울특별시 영등포구 영등포로 59-2,126.8882864,37.52269679,정좌표,서울특별시 영등포구 영등포로 59-2 영등포기계상가버스정류소(19-202),"① 정류장(버스, 택시 등)",① 일반쓰레기,,
48,서울특별시 영등포구 영등포로 59-2,126.8882864,37.52269679,정좌표,서울특별시 영등포구 영등포로 59-2 영등포기계상가버스정류소(19-202),"① 정류장(버스, 택시 등)",② 재활용쓰레기,,
49,서울특별시 영등포구 영등포로 96,126.8919862,37.52130979,정좌표,서울특별시 영등포구 영등포로 96 교보생명 앞버스정류소(19-166),"① 정류장(버스, 택시 등)",① 일반쓰레기,,
50,서울특별시 영등포구 영등포로 96,126.8919862,37.52130979,정좌표,서울특별시 영등포구 영등포로 96 교보생명 앞버스정류소(19-166),"① 정류장(버스, 택시 등)",② 재활용쓰레기,,
51,서울특별시 영등포구 영등포로 208,126.9042952,37.51968248,정좌표,서울특별시 영등포구 영등포로 208 국민은행 앞,⑥ 횡단보도 입구,① 일반쓰레기,,
52,서울특별시 영등포구 영등포로 208,126.9042952,37.51968248,정좌표,서울특별시 영등포구 영등포로 208 국민은행 앞,⑥ 횡단보도 입구,② 재활용쓰레기,,
53,서울특별시 영등포구 양산로 111,126.8955219,37.52472387,정좌표,서울특별시 영등포구 양산로 111 주차문화과 앞 사거리,⑥ 횡단보도 입구,① 일반쓰레기,,
54,서울특별시 영등포구 양산로 111,126.8955219,37.52472387,정좌표,서울특별시 영등포구 양산로 111 주차문화과 앞 사거리,⑥ 횡단보도 입구,② 재활용쓰레기,,
55,서울특별시 영등포구 경인로 851,126.9071757,37.51684537,정좌표,서울특별시 영등포구 경인로 851 영등포역 버스중앙차로(19-006),⑦ 버스중앙차로내 휴지통,① 일반쓰레기,,
56,서울특별시 영등포구 경인로 851,126.9071757,37.51684537,정좌표,서울특별시 영등포구 경인로 851 영등포역 버스중앙차로(19-006),⑦ 버스중앙차로내 휴지통,① 일반쓰레기,,
57,서울특별시 영등포구 경인로 851,126.9071757,37.51684537,정좌표,서울특별시 영등포구 경인로 851 영등포역 버스중앙차로(19-006),⑦ 버스중앙차로내 휴지통,① 일반쓰레기,,
58,서울특별시 영등포구 경인로 851,126.9071757,37.51684537,정좌표,서울특별시 영등포구 경인로 851 영등포역 버스중앙차로(19-006),⑦ 버스중앙차로내 휴지통,① 일반쓰레기,,
59,서울특별시 영등포구 경인로 841,126.9060431,37.51652989,정좌표,서울특별시 영등포구 경인로 841 우체국 앞 횡단보도,⑥ 횡단보도 입구,① 일반쓰레기,,
60,서울특별시 영등포구 경인로 841,126.9060431,37.51652989,정좌표,서울특별시 영등포구 경인로 841 우체국 앞 횡단보도,⑥ 횡단보도 입구,① 일반쓰레기,,
61,서울특별시 영등포구 경인로 775,126.8994322,37.51463282,정좌표,서울특별시 영등포구 경인로 775 에이스하이테크시티 앞 버스중앙차로(19-004),⑦ 버스중앙차로내 휴지통,① 일반쓰레기,,
62,서울특별시 영등포구 경인로 775,126.8994322,37.51463282,정좌표,서울특별시 영등포구 경인로 775 에이스하이테크시티 앞 버스중앙차로(19-004),⑦ 버스중앙차로내 휴지통,① 일반쓰레기,,
63,서울특별시 영등포구 경인로 789,126.9008629,37.51481702,정좌표,서울특별시 영등포구 경인로 789 gs주유소 앞 버스정류소(19-003),⑦ 버스중앙차로내 휴지통,① 일반쓰레기,,
64,서울특별시 영등포구 영등포로 208,126.9042952,37.51968248,정좌표,서울특별시 영등포구 영등포로 208 국민은행 앞,⑥ 횡단보도 입구,① 일반쓰레기,,
65,서울특별시 영등포구 영등포로 208,126.9042952,37.51968248,정좌표,서울특별시 영등포구 영등포로 208 국민은행 앞,⑥ 횡단보도 입구,② 재활용쓰레기,,
66,서울특별시 영등포구 경인로 789,126.9008629,37.51481702,정좌표,서울특별시 영등포구 경인로 789 gs주유소 앞 버스정류소(19-003),⑦ 버스중앙차로내 휴지통,① 일반쓰레기,,
67,서울특별시 영등포구 당산로27길 12,126.8951522,37.52522673,정좌표,서울특별시 영등포구 당산로27길 12 당산공원 버스정류장 앞,"① 정류장(버스, 택시 등)",① 일반쓰레기,,
68,서울특별시 영등포구 당산로27길 12,126.8951522,37.52522673,정좌표,서울특별시 영등포구 당산로27길 12 당산공원 버스정류장 앞,"① 정류장(버스, 택시 등)",② 재활용쓰레기,,
69,서울특별시 영등포구 당산로27길 12,126.8951522,37.52522673,정좌표,서울특별시 영등포구 당산로27길 12 당산공원 버스정류장 앞,"① 정류장(버스, 택시 등)",① 일반쓰레기,,
70,서울특별시 영등포구 당산로27길 12,126.8951522,37.52522673,정좌표,서울특별시 영등포구 당산로27길 12 당산공원 버스정류장 앞,"① 정류장(버스, 택시 등)",② 재활용쓰레기,,
71,서울특별시 영등포구 영등포로 194,126.9029551,37.5200194,정좌표,서울특별시 영등포구 영등포로 194 씨티은행 앞,"① 정류장(버스, 택시 등)",① 일반쓰레기,,
72,서울특별시 영등포구 영등포로 194,126.9029551,37.5200194,정좌표,서울특별시 영등포구 영등포로 194 씨티은행 앞,"① 정류장(버스, 택시 등)",② 재활용쓰레기,,
73,서울특별시 영등포구 영등포로 141,126.8971926,37.52138722,정좌표,서울특별시 영등포구 영등포로 141 제비표 페인트 앞,"① 정류장(버스, 택시 등)",① 일반쓰레기,,
74,서울특별시 영등포구 영등포로 141,126.8971926,37.52138722,정좌표,서울특별시 영등포구 영등포로 141 제비표 페인트 앞,"① 정류장(버스, 택시 등)",② 재활용쓰레기,,
75,서울특별시 영등포구 영등포로 141,126.8971926,37.52138722,정좌표,서울특별시 영등포구 영등포로 141 제비표 페인트 앞,"① 정류장(버스, 택시 등)",① 일반쓰레기,,
76,서울특별시 영등포구 영등포로 141,126.8971926,37.52138722,정좌표,서울특별시 영등포구 영등포로 141 제비표 페인트 앞,"① 정류장(버스, 택시 등)",② 재활용쓰레기,,
77,서울특별시 영등포구 문래로 110,126.8941145,37.51885103,정좌표,서울특별시 영등포구 문래로 110 문래 청소년 수련관 앞,"① 정류장(버스, 택시 등)",① 일반쓰레기,,
78,서울특별시 영등포구 문래로 110,126.8941145,37.51885103,정좌표,서울특별시 영등포구 문래로 110 문래 청소년 수련관 앞,"① 정류장(버스, 택시 등)",② 재활용쓰레기,,
79,서울특별시 영등포구 신길로 252,126.9117646,37.51411351,정좌표,서울특별시 영등포구 신길로 252 영보빌딩 앞 횡단보도,⑥ 횡단보도 입구,① 일반쓰레기,,
80,서울특별시 영등포구 신길로 252,126.9117646,37.51411351,정좌표,서울특별시 영등포구 신길로 252 영보빌딩 앞 횡단보도,⑥ 횡단보도 입구,② 재활용쓰레기,,
81,서울특별시 영등포구 신길로 89,126.9087621,37.50070334,정좌표,서울특별시 영등포구 신길로 89 백악관웨딩홀 버스정류장(19-241),"① 정류장(버스, 택시 등)",① 일반쓰레기,,
