text,연번,시도명,자치구명,도로(가로)명,합,세부위치,설치장소유형,수거 쓰레기 종류,형태,설치연도,관리기관명,관리기관전화번호,데이터기준일
대전광역시 동구 동대전로 319,1,대전광역시,동구,동대전로 319,대전광역시 동구 동대전로 319,중앙택시,버스정류장 앞,일반+담배꽁초+재활용 ,일반 사각 쓰레기통,2014년 이전,대전광역시 동구,042-251-4561,2021-08-31
대전광역시 동구 합내로 75,2,대전광역시,동구,합내로 75,대전광역시 동구 합내로 75,더치나인,버스정류장 앞,일반+담배꽁초+재활용 ,일반 사각 쓰레기통,2014년 이전,대전광역시 동구,042-251-4561,2021-08-31
대전광역시 동구 우암로 355 건너편,3,대전광역시,동구,우암로 355 건너편,대전광역시 동구 우암로 355 건너편,택시회사,버스정류장 앞,일반+담배꽁초+재활용 ,일반 사각 쓰레기통,2014년 이전,대전광역시 동구,042-251-4561,2021-08-31
대전광역시 동구 우암로 328,4,대전광역시,동구,우암로 328,대전광역시 동구 우암로 328,연세의원,버스정류장 앞,일반+담배꽁초+재활용 ,일반 사각 쓰레기통,2014년 이전,대전광역시 동구,042-251-4561,2021-08-31
대전광역시 동구 우암로 240,5,대전광역시,동구,우암로 240,대전광역시 동구 우암로 240,가양치과,버스정류장 앞,일반+담배꽁초+재활용 ,일반 사각 쓰레기통,2014년 이전,대전광역시 동구,042-251-4561,2021-08-31
대전광역시 동구 우암로 279,6,대전광역시,동구,우암로 279,대전광역시 동구 우암로 279,구기산업건설,버스정류장 앞,일반+담배꽁초+재활용 ,일반 사각 쓰레기통,2014년 이전,대전광역시 동구,042-251-4561,2021-08-31
대전광역시 동구 우암로 286,7,대전광역시,동구,우암로 286,대전광역시 동구 우암로 286,행복누리,버스정류장 앞,일반+담배꽁초+재활용 ,일반 사각 쓰레기통,2014년 이전,대전광역시 동구,042-251-4561,2021-08-31
대전광역시 동구 동대전로 263,8,대전광역시,동구,동대전로 263,대전광역시 동구 동대전로 263,그래그래피자,버스정류장 앞,일반+담배꽁초+재활용 ,일반 사각 쓰레기통,2014년 이전,대전광역시 동구,042-251-4561,2021-08-31
대전광역시 동구 동대전로 284,9,대전광역시,동구,동대전로 284,대전광역시 동구 동대전로 284,연합의원,버스정류장 앞,일반+담배꽁초+재활용 ,일반 사각 쓰레기통,2014년 이전,대전광역시 동구,042-251-4561,2021-08-31
대전광역시 동구 동대전로 287,10,대전광역시,동구,동대전로 287,대전광역시 동구 동대전로 287,고고성자원,버스정류장 앞,일반+담배꽁초+재활용 ,일반 사각 쓰레기통,2014년 이전,대전광역시 동구,042-251-4561,2021-08-31
대전광역시 동구 동대전로 316,11,대전광역시,동구,동대전로 316,대전광역시 동구 동대전로 316,석갈비집,버스정류장 앞,일반+담배꽁초+재활용 ,일반 사각 쓰레기통,2014년 이전,대전광역시 동구,042-251-4561,2021-08-31
대전광역시 동구 우암로 353,12,대전광역시,동구,우암로 353,대전광역시 동구 우암로 353,왕손족발,버스정류장 앞,일반+담배꽁초+재활용 ,일반 사각 쓰레기통,2014년 이전,대전광역시 동구,042-251-4561,2021-08-31
대전광역시 동구 우암로 325-1,13,대전광역시,동구,우암로 325-1,대전광역시 동구 우암로 325-1,또먹어도돼지,버스정류장 앞,일반+담배꽁초+재활용 ,일반 사각 쓰레기통,2014년 이전,대전광역시 동구,042-251-4561,2021-08-31
대전광역시 동구 충정로 136 ,14,대전광역시,동구,충정로 136 ,대전광역시 동구 충정로 136 ,대주파크빌 103동 앞,버스정류장 앞,일반+담배꽁초+재활용 ,일반 사각 쓰레기통,2014년 이전,대전광역시 동구,042-251-4561,2021-08-31
대전광역시 동구 대전로 486,15,대전광역시,동구,대전로 486,대전광역시 동구 대전로 486,빨래방,버스정류장 앞,일반+재활용,일반 사각 쓰레기통,2014년 이전,대전광역시 동구,042-251-4561,2021-08-31
대전광역시 동구 대전로 420,16,대전광역시,동구,대전로 420,대전광역시 동구 대전로 420,또또손세차,버스정류장 앞,일반+재활용,일반 사각 쓰레기통,2014년 이전,대전광역시 동구,042-251-4561,2021-08-31
대전광역시 동구 대전로 486,17,대전광역시,동구,대전로 486,대전광역시 동구 대전로 486,명신주택,버스정류장 앞,일반+재활용,일반 사각 쓰레기통,2014년 이전,대전광역시 동구,042-251-4561,2021-08-31
대전광역시 동구 대전로 473,18,대전광역시,동구,대전로 473,대전광역시 동구 대전로 473,명성부동산,버스정류장 앞,일반+재활용,일반 사각 쓰레기통,2014년 이전,대전광역시 동구,042-251-4561,2021-08-31
대전광역시 동구 은어송로 47,19,대전광역시,동구,은어송로 47,대전광역시 동구 은어송로 47,공인중개사,버스정류장 앞,일반+재활용,일반 사각 쓰레기통,2014년 이전,대전광역시 동구,042-251-4561,2021-08-31
대전광역시 동구 은어송로 48,20,대전광역시,동구,은어송로 48,대전광역시 동구 은어송로 48,새마을금고,버스정류장 앞,일반+재활용,일반 사각 쓰레기통,2014년 이전,대전광역시 동구,042-251-4561,2021-08-31
대전광역시 동구 동구청로 67,21,대전광역시,동구,동구청로 67,대전광역시 동구 동구청로 67,풍림아이원 정문,버스정류장 앞,일반+재활용,일반 사각 쓰레기통,2014년 이전,대전광역시 동구,042-251-4561,2021-08-31
대전광역시 동구 동구청로 147,22,대전광역시,동구,동구청로 147,대전광역시 동구 동구청로 147,동구청 정문,버스정류장 앞,일반+재활용,일반 사각 쓰레기통,2014년 이전,대전광역시 동구,042-251-4561,2021-08-31
대전광역시 동구 은어송로 46,23,대전광역시,동구,은어송로 46,대전광역시 동구 은어송로 46,엔제리너스커피,버스정류장 앞,일반+재활용,일반 사각 쓰레기통,2014년 이전,대전광역시 동구,042-251-4561,2021-08-31
대전광역시 동구 계족로 148,24,대전광역시,동구,계족로 148,대전광역시 동구 계족로 148,아리따움,버스정류장 앞,일반+재활용,일반 사각 쓰레기통,2014년 이전,대전광역시 동구,042-251-4561,2021-08-31
대전광역시 동구 계족로140번길 46,25,대전광역시,동구,계족로140번길 46,대전광역시 동구 계족로140번길 46,인테리어,버스정류장 앞,일반+담배꽁초+재활용,일반 사각 쓰레기통,2014년 이전,대전광역시 동구,042-251-4561,2021-08-31
대전광역시 동구 동대전로 130-2,26,대전광역시,동구,동대전로 130-2,대전광역시 동구 동대전로 130-2,베트남식당,횡단보도 옆,일반+담배꽁초+재활용,일반 사각 쓰레기통,2014년 이전,대전광역시 동구,042-251-4561,2021-08-31
대전광역시 동구 동대전로 59-1,27,대전광역시,동구,동대전로 59-1,대전광역시 동구 동대전로 59-1,정형외과,버스정류장 앞,일반+담배꽁초+재활용,일반 사각 쓰레기통,2014년 이전,대전광역시 동구,042-251-4561,2021-08-31
대전광역시 동구 계족로 137,28,대전광역시,동구,계족로 137,대전광역시 동구 계족로 137,새들뫼 휴먼시아 108동 ,도로(가로변),일반+담배꽁초+재활용,일반 사각 쓰레기통,2014년 이전,대전광역시 동구,042-251-4561,2021-08-31
대전광역시 동구 동대전로110번길 164,29,대전광역시,동구,동대전로110번길 164,대전광역시 동구 동대전로110번길 164,파랑새식품,도로(가로변),일반+담배꽁초+재활용,일반 사각 쓰레기통,2014년 이전,대전광역시 동구,042-251-4561,2021-08-31
대전광역시 동구 동대전로 62,30,대전광역시,동구,동대전로 62,대전광역시 동구 동대전로 62,순수스킨케어,버스정류장 앞,일반+재활용,일반 사각 쓰레기통,2014년 이전,대전광역시 동구,042-251-4561,2021-08-31
대전광역시 동구 동대전로 99,31,대전광역시,동구,동대전로 99,대전광역시 동구 동대전로 99,뮤흐뮤흐,버스정류장 앞,일반+재활용,일반 사각 쓰레기통,2014년 이전,대전광역시 동구,042-251-4561,2021-08-31
대전광역시 동구 동대전로 88-2,32,대전광역시,동구,동대전로 88-2,대전광역시 동구 동대전로 88-2,세븐일레븐,버스정류장 앞,일반+재활용,일반 사각 쓰레기통,2014년 이전,대전광역시 동구,042-251-4561,2021-08-31
대전광역시 동구 산내로 1390,33,대전광역시,동구,산내로 1390,대전광역시 동구 산내로 1390,웰빙낙지한마리,도로(가로변),일반+재활용,일반 사각 쓰레기통,2014년 이전,대전광역시 동구,042-251-4561,2021-08-31
대전광역시 동구 대전로 248,34,대전광역시,동구,대전로 248,대전광역시 동구 대전로 248,복권편의점,도로(가로변),일반+재활용,일반 사각 쓰레기통,2014년 이전,대전광역시 동구,042-251-4561,2021-08-31
대전광역시 동구 동구청로 35 ,35,대전광역시,동구,동구청로 35 ,대전광역시 동구 동구청로 35 ,하늘채 3단지 정문,버스정류장 앞,일반+재활용,일반 사각 쓰레기통,2014년 이전,대전광역시 동구,042-251-4561,2021-08-31
대전광역시 동구 대전로 874,36,대전광역시,동구,대전로 874,대전광역시 동구 대전로 874,중앙민속 예술학원,버스정류장 앞,일반+재활용,일반 사각 쓰레기통,2014년 이전,대전광역시 동구,042-251-4561,2021-08-31
대전광역시 동구 우암로 74,37,대전광역시,동구,우암로 74,대전광역시 동구 우암로 74,명창재단 지업사,버스정류장 앞,일반+재활용,일반 사각 쓰레기통,2014년 이전,대전광역시 동구,042-251-4561,2021-08-31
대전광역시 동구 솔랑길 12 ,38,대전광역시,동구,솔랑길 12 ,대전광역시 동구 솔랑길 12 ,삼성빌라 맞은편,버스정류장 앞,일반+재활용,일반 사각 쓰레기통,2014년 이전,대전광역시 동구,042-251-4561,2021-08-31
대전광역시 동구 우암로 73-1,39,대전광역시,동구,우암로 73-1,대전광역시 동구 우암로 73-1,기전케이블,버스정류장 앞,일반+재활용,일반 사각 쓰레기통,2014년 이전,대전광역시 동구,042-251-4561,2021-08-31
대전광역시 동구 대전로 896,40,대전광역시,동구,대전로 896,대전광역시 동구 대전로 896,감골오리,버스정류장 앞,일반+재활용,일반 사각 쓰레기통,2014년 이전,대전광역시 동구,042-251-4561,2021-08-31
대전광역시 동구 동서대로 1498-1,41,대전광역시,동구,동서대로 1498-1,대전광역시 동구 동서대로 1498-1,영진카서비스,버스정류장 앞,일반+재활용,일반 사각 쓰레기통,2014년 이전,대전광역시 동구,042-251-4561,2021-08-31
대전광역시 동구 동서대로1503번길 3,42,대전광역시,동구,동서대로1503번길 3,대전광역시 동구 동서대로1503번길 3,시은펫,버스정류장 앞,일반+재활용,일반 사각 쓰레기통,2014년 이전,대전광역시 동구,042-251-4561,2021-08-31
대전광역시 동구 대전로 977,43,대전광역시,동구,대전로 977,대전광역시 동구 대전로 977,대명철재,버스정류장 앞,일반+재활용,일반 사각 쓰레기통,2014년 이전,대전광역시 동구,042-251-4561,2021-08-31
대전광역시 동구 대전로 935 ,44,대전광역시,동구,대전로 935 ,대전광역시 동구 대전로 935 ,한밭자이아파트 정문,버스정류장 앞,일반+재활용,일반 사각 쓰레기통,2014년 이전,대전광역시 동구,042-251-4561,2021-08-31
대전광역시 동구 우암로 159,45,대전광역시,동구,우암로 159,대전광역시 동구 우암로 159,부모사랑 요양병원,버스정류장 앞,일반+담배꽁초+재활용,일반 사각 쓰레기통,2014년 이전,대전광역시 동구,042-251-4561,2021-08-31
대전광역시 동구 동서대로 1688,46,대전광역시,동구,동서대로 1688,대전광역시 동구 동서대로 1688,빅플러스타워,버스정류장 앞,일반+담배꽁초+재활용,일반 사각 쓰레기통,2014년 이전,대전광역시 동구,042-251-4561,2021-08-31
대전광역시 동구 계족로 276,47,대전광역시,동구,계족로 276,대전광역시 동구 계족로 276,천안골동품,버스정류장 앞,일반+담배꽁초+재활용,일반 사각 쓰레기통,2014년 이전,대전광역시 동구,042-251-4561,2021-08-31
대전광역시 동구 계족로 123,48,대전광역시,동구,계족로 123,대전광역시 동구 계족로 123,충남중학교 버스터미널,버스정류장 앞,일반,일반 사각 쓰레기통,2014년 이전,대전광역시 동구,042-251-4561,2021-08-31
대전광역시 동구 옥천로 38,49,대전광역시,동구,옥천로 38,대전광역시 동구 옥천로 38,신흥마을 아파트 102동 ,버스정류장 앞,일반,일반 사각 쓰레기통,2014년 이전,대전광역시 동구,042-251-4561,2021-08-31
대전광역시 동구 동서대로 1719,50,대전광역시,동구,동서대로 1719,대전광역시 동구 동서대로 1719,갑띠방,횡단보도 옆,일반+담배꽁초+재활용,일반 사각 쓰레기통,2014년 이전,대전광역시 동구,042-251-4561,2021-08-31
대전광역시 동구 한밭대로 1269,51,대전광역시,동구,한밭대로 1269,대전광역시 동구 한밭대로 1269,LG베스트샵,버스정류장 앞,일반+담배꽁초+재활용,일반 사각 쓰레기통,2014년 이전,대전광역시 동구,042-251-4561,2021-08-31
대전광역시 동구 동서대로 1673-1,52,대전광역시,동구,동서대로 1673-1,대전광역시 동구 동서대로 1673-1,아로마플라워,버스정류장 앞,일반+담배꽁초+재활용,일반 사각 쓰레기통,2014년 이전,대전광역시 동구,042-251-4561,2021-08-31
대전광역시 동구 동서대로1683번길 33-11,53,대전광역시,동구,동서대로1683번길 33-11,대전광역시 동구 동서대로1683번길 33-11,산후조리원,버스정류장 앞,일반+담배꽁초+재활용,일반 사각 쓰레기통,2014년 이전,대전광역시 동구,042-251-4561,2021-08-31
대전광역시 동구 한밭대로 1231,54,대전광역시,동구,한밭대로 1231,대전광역시 동구 한밭대로 1231,글로벌자동차유리,버스정류장 앞,일반+담배꽁초+재활용,일반 사각 쓰레기통,2014년 이전,대전광역시 동구,042-251-4561,2021-08-31
대전광역시 동구 한밭대로 1291,55,대전광역시,동구,한밭대로 1291,대전광역시 동구 한밭대로 1291,아우벤 대전점,버스정류장 앞,일반+담배꽁초+재활용,일반 사각 쓰레기통,2014년 이전,대전광역시 동구,042-251-4561,2021-08-31
대전광역시 동구 한밭대로 1232,56,대전광역시,동구,한밭대로 1232,대전광역시 동구 한밭대로 1232,도디치 대전점,버스정류장 앞,일반+담배꽁초+재활용,일반 사각 쓰레기통,2014년 이전,대전광역시 동구,042-251-4561,2021-08-31
대전광역시 동구 한밭대로 1266,57,대전광역시,동구,한밭대로 1266,대전광역시 동구 한밭대로 1266,기아자동차,버스정류장 앞,일반+담배꽁초+재활용,일반 사각 쓰레기통,2014년 이전,대전광역시 동구,042-251-4561,2021-08-31
대전광역시 동구 대전로 771,58,대전광역시,동구,대전로 771,대전광역시 동구 대전로 771,주앙스파찜질방,버스정류장 앞,일반+재활용,일반 사각 쓰레기통,2014년 이전,대전광역시 동구,042-251-4561,2021-08-31
대전광역시 동구 대흥로 199,59,대전광역시,동구,대흥로 199,대전광역시 동구 대흥로 199,쟈스민 원동점,버스정류장 앞,일반+재활용,일반 사각 쓰레기통,2014년 이전,대전광역시 동구,042-251-4561,2021-08-31
