No,¼³Ä¡ÁÖ¼Ò,°æµµ,À§µµ,»óÅÂ
1,¼­¿ïÆ¯º°½Ã °ü¾Ç±¸ ³²ºÎ¼øÈ¯·Î1615,126.9300855,37.48455443,Á¤ÁÂÇ¥
2,¼­¿ïÆ¯º°½Ã °ü¾Ç±¸ ½Å¸²·Î339,126.9292747,37.48455277,Á¤ÁÂÇ¥
3,¼­¿ïÆ¯º°½Ã °ü¾Ç±¸ ³²ºÎ¼øÈ¯·Î1937,126.9646775,37.47692065,Á¤ÁÂÇ¥
4,¼­¿ïÆ¯º°½Ã °ü¾Ç±¸ ³²ºÎ¼øÈ¯·Î1919,126.9626164,37.4776898,Á¤ÁÂÇ¥
5,¼­¿ïÆ¯º°½Ã °ü¾Ç±¸ ³²ºÎ¼øÈ¯·Î 1820,126.9520842,37.48094824,Á¤ÁÂÇ¥
6,¼­¿ïÆ¯º°½Ã °ü¾Ç±¸ ³²ºÎ¼øÈ¯·Î 1817,126.9521463,37.48164375,Á¤ÁÂÇ¥
7,¼­¿ïÆ¯º°½Ã °ü¾Ç±¸ °ü¾Ç·Î237,126.9559556,37.48586501,Á¤ÁÂÇ¥
8,¼­¿ïÆ¯º°½Ã °ü¾Ç±¸ ³²ºÎ¼øÈ¯·Î 1729,126.942232,37.4825765,Á¤ÁÂÇ¥
9,¼­¿ïÆ¯º°½Ã °ü¾Ç±¸ ³²ºÎ¼øÈ¯·Î 1715,126.9408882,37.48303769,Á¤ÁÂÇ¥
10,¼­¿ïÆ¯º°½Ã °ü¾Ç±¸ °ü¾Ç·Î 171,126.952232,37.48055233,Á¤ÁÂÇ¥
11,¼­¿ïÆ¯º°½Ã °ü¾Ç±¸ ³²ºÎ¼øÈ¯·Î 1814,126.9515654,37.48103489,Á¤ÁÂÇ¥
12,¼­¿ïÆ¯º°½Ã °ü¾Ç±¸ °ü¾Ç·Î 172 ,126.9529491,37.48051293,Á¤ÁÂÇ¥
13,¼­¿ïÆ¯º°½Ã °ü¾Ç±¸ ³²ºÎ¼øÈ¯·Î1840,126.9542976,37.4803625,Á¤ÁÂÇ¥
14,¼­¿ïÆ¯º°½Ã °ü¾Ç±¸ »ç´ç¿ª 6¹øÃâ±¸,126.9508228,37.4654609,ÀÎ±ÙÁÂÇ¥
15,¼­¿ïÆ¯º°½Ã °ü¾Ç±¸ ³²ºÎ¼øÈ¯·Î 1934 ,126.9637372,37.47663913,Á¤ÁÂÇ¥
16,¼­¿ïÆ¯º°½Ã °ü¾Ç±¸ ³²ºÎ¼øÈ¯·Î 1944,126.9647991,37.47631494,Á¤ÁÂÇ¥
17,¼­¿ïÆ¯º°½Ã °ü¾Ç±¸ ³²ºÎ¼øÈ¯·Î 1926,126.9631443,37.47681788,Á¤ÁÂÇ¥
18,¼­¿ïÆ¯º°½Ã °ü¾Ç±¸ °úÃµ´ë·Î 947 ,126.9813467,37.47519678,Á¤ÁÂÇ¥
19,¼­¿ïÆ¯º°½Ã °ü¾Ç±¸ ³²ºÎ¼øÈ¯·Î 1478,126.9149409,37.48217969,ÀÎ±ÙÁÂÇ¥
20,¼­¿ïÆ¯º°½Ã °ü¾Ç±¸ ½Å¸²·Î 330,126.9302351,37.48385209,Á¤ÁÂÇ¥
21,¼­¿ïÆ¯º°½Ã °ü¾Ç±¸ ½Å¸²·Î 164,126.9341767,37.47328575,Á¤ÁÂÇ¥
22,¼­¿ïÆ¯º°½Ã °ü¾Ç±¸ ½Å¸²·Î165,126.9332445,37.47374549,Á¤ÁÂÇ¥
23,¼­¿ïÆ¯º°½Ã °ü¾Ç±¸ ³­°î·Î 55,126.9183949,37.45873212,Á¤ÁÂÇ¥
24,¼­¿ïÆ¯º°½Ã °ü¾Ç±¸ ³²ºÎ¼øÈ¯·Î1447,126.9115348,37.48156896,Á¤ÁÂÇ¥
25,¼­¿ïÆ¯º°½Ã °ü¾Ç±¸ È£¾Ï·Î 541,126.9310736,37.46602275,Á¤ÁÂÇ¥
26,¼­¿ïÆ¯º°½Ã °ü¾Ç±¸ ½Å¸²·Î78,126.9409698,37.47105,Á¤ÁÂÇ¥
27,¼­¿ïÆ¯º°½Ã °ü¾Ç±¸ ½Å¸²·Î 67,126.9417652,37.47006677,Á¤ÁÂÇ¥
28,¼­¿ïÆ¯º°½Ã °ü¾Ç±¸ ³­°î·Î 117,126.9197128,37.46578723,Á¤ÁÂÇ¥
29,¼­¿ïÆ¯º°½Ã °ü¾Ç±¸ ½Å»ç·Î 104,126.91396,37.48711985,Á¤ÁÂÇ¥
