도로(가로)명,주소,세부위치,수거 쓰레기 종류,형태,수거 담당자
고산자로,서울특별시 성동구 도선동 15-3,용호공사 옆 거창식당 앞,일반쓰레기,일반 사각 쓰레기통,가로환경미화원
고산자로,서울특별시 성동구 도선동 409,세븐일레븐 앞,일반+담배꽁초 ,일반 사각 쓰레기통,가로환경미화원
마장로,서울특별시 성동구 마장동 792,마장갈비 앞,일반쓰레기 ,일반 사각 쓰레기통,가로환경미화원
사근동길,서울특별시 성동구 사근동 33-10,모닝글로리 서점 앞,일반쓰레기,일반 사각 쓰레기통,가로환경미화원
사근동길,서울특별시 성동구 행당동 1-13,왕십리역 6번출구 위 공원,일반쓰레기,일반 사각 쓰레기통,가로환경미화원
사근동길,서울특별시 성동구 행당동 1-13,왕십리역 6번출구 위 공원,일반쓰레기,일반 사각 쓰레기통,가로환경미화원
왕십리로,서울특별시 성동구 하왕십리동 966-13,왕십리로327 국민은행 앞,일반+담배꽁초 ,일반 사각 쓰레기통,가로환경미화원
왕십리로,서울특별시 성동구 도선동 256-1,왕십리로 332-1 유노헤어샾,일반+담배꽁초 ,일반 사각 쓰레기통,가로환경미화원
왕십리로,서울특별시 성동구 행당동 284,왕십리로 303 성동우체국앞,일반쓰레기,일반 사각 쓰레기통,가로환경미화원
왕십리로,서울특별시 성동구 행당동 284,왕십리로 303 성동우체국앞, 재활용쓰레기 수거용,분리수거 사각쓰레기통,가로환경미화원
왕십리로,서울특별시 성동구 행당동 347,행당로 87길 농협 앞,일반+담배꽁초 ,일반 사각 쓰레기통,가로환경미화원
독서당로,서울특별시 성동구 금호동4가 559,도원문고 앞,일반+담배꽁초 ,일반 사각 쓰레기통,가로환경미화원
독서당로,서울특별시 성동구 금호동4가 1109,우리은행 공원 앞,일반+담배꽁초 ,일반 사각 쓰레기통,가로환경미화원
독서당로,서울특별시 성동구 금호동 4가 340,"금호로 17, 서울숲푸르지오 버스정류장 앞",일반+담배꽁초 ,일반 사각 쓰레기통,가로환경미화원
독서당로,서울특별시 성동구 옥수동 559,농협 옥수지점 앞,일반+담배꽁초 ,일반 사각 쓰레기통,가로환경미화원
독서당로,서울특별시 성동구 옥수동 428,옥수 극동아파트 정문 앞,일반+담배꽁초 ,일반 사각 쓰레기통,가로환경미화원
독서당로,서울특별시 성동구 옥수동 561,"매봉길 13, 옥수리버젠 203동 앞",일반+담배꽁초 ,일반 사각 쓰레기통,가로환경미화원
독서당로,서울특별시 성동구 옥수동 561,"매봉길 13, 옥수리버젠 112동 앞",일반+담배꽁초 ,일반 사각 쓰레기통,가로환경미화원
왕십리로,서울특별시 성동구 성수동1가 656-75,재향군인회 앞,담배꽁초 수거용,원형 쓰레기통,가로환경미화원
왕십리로,서울특별시 성동구 성수동1가 656-335,대한통운 택배 앞,담배꽁초 수거용,원형 쓰레기통,가로환경미화원
왕십리로,서울특별시 성동구 성수동1가 685-701,분당선 서울숲역 3번출구 앞,일반쓰레기,일반 사각 쓰레기통,가로환경미화원
왕십리로,서울특별시 성동구 성수동1가 685-701,분당선 서울숲역 3번출구 앞, 재활용쓰레기 수거용,분리수거 사각쓰레기통,가로환경미화원
왕십리로,서울특별시 성동구 성수동1가 685-580,성수1가 2동 주민센터 앞,일반+담배꽁초,일반 사각 쓰레기통,가로환경미화원
